Protocols;Subdomains;SDLs;TLDs;Ports;Pages
;;archive;cc;;
http;bt;nnmclub;info;80;/
https;bt01;nnm-club;is;443;/ann
udp;bt02;playground;me;8080;/announce
;bt03;rutor;net;2710;
;bt04;rutracker;org;6881;
;bt05;t-ru;ru;6882;
;bt06;;;6883;
;bt07;;;6884;
;bt08;;;6885;
;bt09;;;6886;
;bt10;;;6887;
;bt1;;;6888;
;bt2;;;6889;
;bt3;;;6969;
;bt4;;;;
;bt5;;;;
;bt6;;;;
;bt7;;;;
;bt8;;;;
;bt9;;;;
;ix;;;;
;ix01;;;;
;ix02;;;;
;ix03;;;;
;ix04;;;;
;ix05;;;;
;ix06;;;;
;ix07;;;;
;ix08;;;;
;ix09;;;;
;ix10;;;;
;ix1;;;;
;ix2;;;;
;ix3;;;;
;ix4;;;;
;ix5;;;;
;ix6;;;;
;ix7;;;;
;ix8;;;;
;ix9;;;;
;tracker-tcp;;;;
;tracker-udp;;;;
;tracker;;;;
;xbtt;;;;
